CountryName,Total Case,Total Deaths,Total Recovered,Active Cases,Critical Cases
USA,"1,040,233","59,819 ","143,302","837,112","19,110"
Spain,"236,899","24,275 ","132,929","79,695","7,764"
Italy,"203,591","27,682 ","71,252","104,657","1,795"
France,"165,911","23,660 ","46,886","95,365","4,387"
UK,"161,145","21,678 ",N/A,"139,123","1,559"
Germany,"160,479","6,374 ","120,400","33,705","2,409"
Turkey,"117,589","3,081 ","44,022","70,486","1,574"
Russia,"99,399",972 ,"10,286","88,141","2,300"
Iran,"93,657","5,957 ","73,791","13,909","2,965"
Brazil,"73,235","5,083 ","32,544","35,608","8,318"
Canada,"50,373","2,904 ","19,886","27,583",557
Belgium,"47,859","7,501 ","11,283","29,075",797
Netherlands,"38,802","4,711 ",N/A,"33,841",804
India,"31,787","1,008 ","7,796","22,983",
Peru,"31,190",854 ,"9,179","21,157",600
Switzerland,"29,407","1,703 ","22,600","5,104",185
Portugal,"24,505",973 ,"1,470","22,062",169
Ecuador,"24,258",871 ,"1,557","21,830",146
Saudi Arabia,"21,402",157 ,"2,953","18,292",125
Sweden,"20,302","2,462 ","1,005","16,835",479
Ireland,"19,877","1,159 ","9,233","9,485",141
Mexico,"16,752","1,569 ","11,423","3,760",378
Israel,"15,782",212 ,"7,929","7,641",120
Singapore,"15,641",14 ,"1,188","14,439",22
Austria,"15,402",580 ,"12,779","2,043",131
Pakistan,"15,289",335 ,"3,425","11,529",111
Chile,"14,885",216 ,"8,057","6,612",377
Japan,"13,736",394 ,"1,899","11,443",300
Belarus,"13,181",84 ,"2,072","11,025",92
Poland,"12,640",624 ,"3,025","8,991",160
Qatar,"12,564",10 ,"1,243","11,311",72
Romania,"11,978",685 ,"3,569","7,724",247
UAE,"11,380",89 ,"2,181","9,110",1
S. Korea,"10,761",246 ,"8,922","1,593",55
Ukraine,"9,866",250 ,"1,103","8,513",129
Indonesia,"9,771",784 ,"1,391","7,596",
Denmark,"9,008",443 ,"6,366","2,199",66
Serbia,"8,724",173 ,"1,292","7,259",78
Philippines,"8,212",558 ,"1,023","6,631",31
Norway,"7,680",207 ,32,"7,441",40
Czechia,"7,563",227 ,"3,096","4,240",71
Bangladesh,"7,103",163 ,150,"6,790",1
Australia,"6,746",89 ,"5,667",990,38
Dominican Republic,"6,416",286 ,"1,165","4,965",144
Panama,"6,200",176 ,484,"5,540",89
Colombia,"5,949",269 ,"1,268","4,412",118
Malaysia,"5,945",100 ,"4,087","1,758",40
Egypt,"5,268",380 ,"1,335","3,553",
South Africa,"4,996",93 ,"2,073","2,830",36
Finland,"4,906",206 ,"2,800","1,900",51
Morocco,"4,321",168 ,928,"3,225",1
Argentina,"4,127",207 ,"1,192","2,728",144
Algeria,"3,848",444 ,"1,702","1,702",22
Moldova,"3,771",107 ,"1,114","2,550",212
Luxembourg,"3,769",89 ,"3,134",546,21
Kuwait,"3,740",24  ,"1,389","2,327",66
Kazakhstan,"3,105",25 ,798,"2,282",41
Thailand,"2,947",54 ,"2,665",228,61
Bahrain,"2,811",8 ,"1,310","1,493",2
Hungary,"2,727",300 ,536,"1,891",50
Greece,"2,576",139 ,577,"1,860",41
Oman,"2,274",10 ,364,"1,900",3
Croatia,"2,062",67 ,"1,288",707,19
Uzbekistan,"1,969",8 ,"1,066",895,8
Afghanistan,"1,939",60 ,252,"1,627",7
Armenia,"1,932",30 ,900,"1,002",10
Iraq,"1,928",90 ,"1,319",519,
Cameroon,"1,806",59 ,915,832,12
Iceland,"1,797",10 ,"1,656",131,
Azerbaijan,"1,766",23 ,"1,267",476,18
Bosnia and Herzegovina,"1,677",65 ,710,902,4
Ghana,"1,671",16 ,188,"1,467",4
Estonia,"1,666",50 ,236,"1,380",10
Nigeria,"1,532",44 ,255,"1,233",2
New Zealand,"1,474",19 ,"1,229",226,1
Cuba,"1,467",58 ,617,792,14
Bulgaria,"1,447",64 ,243,"1,140",38
North Macedonia,"1,442",73 ,627,742,13
Slovenia,"1,418",89 ,230,"1,099",25
Slovakia,"1,391",22 ,484,885,8
Lithuania,"1,375",45 ,563,767,17
Guinea,"1,240",7 ,269,964,
Ivory Coast,"1,183",14 ,525,644,
Djibouti,"1,077",2 ,599,476,
Bolivia,"1,053",55 ,110,888,3
Hong Kong,"1,038",4 ,830,204,4
Tunisia,975,40 ,279,656,18
Senegal,882,9 ,315,558,1
Latvia,849,15 ,348,486,4
Cyprus,843,15 ,148,680,15
Albania,766,30 ,455,281,4
Andorra,743,41 ,398,304,17
Honduras,738,66 ,73,599,10
Kyrgyzstan,729,8 ,437,284,10
Lebanon,721,24 ,150,547,44
Niger,709,31 ,403,275,
Costa Rica,705,6 ,306,393,8
Burkina Faso,638,42 ,476,120,
Sri Lanka,627,7 ,136,484,2
Uruguay,625,15 ,394,216,11
Somalia,582,28 ,20,534,2
San Marino,563,41 ,69,453,6
Guatemala,557,16 ,62,479,5
Channel Islands,530,36 ,352,142,
Georgia,517,6 ,178,333,6
DRC,491,30 ,59,402,
Mali,482,25 ,129,328,
Tanzania,480,16 ,167,297,7
Malta,463,4 ,339,120,1
Mayotte,460,4 ,235,221,4
Jordan,451,8 ,356,87,5
Taiwan,429,6 ,311,112,
Réunion,418, ,300,118,2
Kenya,384,14 ,129,241,2
Jamaica,381,7 ,29,345,3
El Salvador,377,9 ,106,262,3
Sudan,375,28 ,32,315,
Palestine,344,2 ,71,271,
Mauritius,334,10 ,306,18,3
Venezuela,329,10 ,142,177,3
Montenegro,322,7 ,203,112,7
Equatorial Guinea,315,1 ,9,305,
Isle of Man,313,21 ,252,40,22
Vietnam,270, ,222,48,8
Maldives,269, ,17,252,2
Paraguay,239,9 ,102,128,1
Gabon,238,3 ,53,182,1
Rwanda,212, ,95,117,
Congo,207,8 ,19,180,
Faeroe Islands,187, ,181,6,
Martinique,175,14 ,83,78,5
Myanmar,150,6 ,27,117,
Guadeloupe,149,12 ,82,55,11
Liberia,141,16 ,45,80,
Gibraltar,141, ,131,10,
Brunei ,138,1 ,124,13,2
Ethiopia,130,3  ,58,69,
Madagascar,128, ,90,38,1
French Guiana,125,1 ,93,31,
Cambodia,122, ,119,3,1
Trinidad and Tobago,116,8 ,68,40,
Cabo Verde,114,1 ,2,111,
Bermuda,110,6 ,44,60,10
Togo,109,7 ,64,38,
Sierra Leone,104,4 ,12,88,
Aruba,100,2 ,73,25,4
Zambia,97,3 ,54,40,1
Monaco,95,4 ,50,41,1
Liechtenstein,82,1 ,55,26,
Bahamas,80,11 ,23,46,1
Barbados,80,6 ,39,35,4
Uganda,79, ,52,27,
Haiti,76,6 ,8,62,
Mozambique,76, ,12,64,
Sint Maarten,75,13 ,33,29,7
Guyana,74,8 ,15,51,5
Cayman Islands,73,1 ,10,62,3
Guinea-Bissau,73,1 ,18,54,
Eswatini,71,1 ,10,60,
Benin,64,1 ,33,30,
Libya,61,2 ,18,41,
French Polynesia,58, ,49,9,1
Nepal,57, ,16,41,
Chad,52,2 ,19,31,
CAR,50, ,10,40,
Macao,45, ,34,11,1
Syria,43,3 ,21,19,
Eritrea,39, ,19,20,
Saint Martin,38,3 ,24,11,3
Mongolia,38, ,10,28,
Malawi,36,3 ,5,28,1
South Sudan,34, ,,34,
Zimbabwe,32,4 ,5,23,
Angola,27,2 ,6,19,
Antigua and Barbuda,24,3 ,11,10,1
Timor-Leste,24, ,6,18,
Botswana,23,1 ,5,17,
Grenada,19, ,10,9,4
Laos,19, ,7,12,
Belize,18,2 ,9,7,1
Fiji,18, ,12,6,
New Caledonia,18, ,17,1,1
Curaçao,16,1 ,11,4,
Dominica,16, ,13,3,
Namibia,16, ,8,8,
Saint Kitts and Nevis,15, ,4,11,
Saint Lucia,15, ,15,0,
St. Vincent Grenadines,15,  ,8,7,
Nicaragua,13,3 ,7,3,
Falkland Islands,13, ,11,2,
Turks and Caicos,12,1 ,5,6,
Burundi,11,1 ,4,6,
Montserrat,11,1 ,2,8,1
Greenland,11, ,11,0,
Seychelles,11, ,6,5,
Gambia,10,1 ,8,1,
Suriname,10,1 ,7,2,
Vatican City,10, ,2,8,
Mauritania,8,1 ,6,1,
Papua New Guinea,8, ,,8,
Sao Tome and Principe,8, ,4,4,
Bhutan,7, ,5,2,
British Virgin Islands,6,1 ,3,2,
St. Barth,6, ,6,0,
Western Sahara,6, ,5,1,
Caribbean Netherlands,5, ,,5,
Anguilla,3, ,3,0,
Saint Pierre Miquelon,1, ,,1,
Yemen,1, ,1,0,
China,"82,858","4,633 ","77,578",647,50
